snapshot_date,file_path,linus_lines,total_lines
07-02-2026,COPYING,356,356
07-02-2026,CREDITS,3733,3740
07-02-2026,MAINTAINERS,2665,2716
07-02-2026,Makefile,1339,1345
07-02-2026,README,305,305
07-02-2026,REPORTING-BUGS,61,61
07-02-2026,arch/alpha/Kconfig,606,610
07-02-2026,arch/alpha/Kconfig.debug,59,59
07-02-2026,arch/alpha/Makefile,130,130
07-02-2026,arch/alpha/boot/Makefile,116,116
07-02-2026,arch/alpha/boot/bootloader.lds,24,24
07-02-2026,arch/alpha/boot/bootp.c,214,214
07-02-2026,arch/alpha/boot/bootpz.c,469,469
07-02-2026,arch/alpha/boot/head.S,123,123
07-02-2026,arch/alpha/boot/main.c,191,191
07-02-2026,arch/alpha/boot/misc.c,207,207
07-02-2026,arch/alpha/boot/tools/mkbb.c,151,151
07-02-2026,arch/alpha/boot/tools/objstrip.c,281,281
07-02-2026,arch/alpha/defconfig,927,927
07-02-2026,arch/alpha/kernel/Makefile,104,104
07-02-2026,arch/alpha/kernel/alpha_ksyms.c,235,235
07-02-2026,arch/alpha/kernel/asm-offsets.c,43,43
07-02-2026,arch/alpha/kernel/console.c,66,66
07-02-2026,arch/alpha/kernel/core_apecs.c,418,418
07-02-2026,arch/alpha/kernel/core_cia.c,1212,1212
07-02-2026,arch/alpha/kernel/core_irongate.c,416,416
07-02-2026,arch/alpha/kernel/core_lca.c,515,515
07-02-2026,arch/alpha/kernel/core_marvel.c,1154,1154
07-02-2026,arch/alpha/kernel/core_mcpcia.c,618,618
07-02-2026,arch/alpha/kernel/core_polaris.c,203,203
07-02-2026,arch/alpha/kernel/core_t2.c,622,622
07-02-2026,arch/alpha/kernel/core_titan.c,806,806
07-02-2026,arch/alpha/kernel/core_tsunami.c,459,459
07-02-2026,arch/alpha/kernel/core_wildfire.c,658,658
07-02-2026,arch/alpha/kernel/entry.S,957,957
07-02-2026,arch/alpha/kernel/err_common.c,321,321
07-02-2026,arch/alpha/kernel/err_ev6.c,274,274
07-02-2026,arch/alpha/kernel/err_ev7.c,289,289
07-02-2026,arch/alpha/kernel/err_impl.h,85,85
07-02-2026,arch/alpha/kernel/err_marvel.c,1159,1159
07-02-2026,arch/alpha/kernel/err_titan.c,756,756
07-02-2026,arch/alpha/kernel/es1888.c,49,49
07-02-2026,arch/alpha/kernel/gct.c,48,48
07-02-2026,arch/alpha/kernel/head.S,99,99
07-02-2026,arch/alpha/kernel/init_task.c,23,23
07-02-2026,arch/alpha/kernel/io.c,630,630
07-02-2026,arch/alpha/kernel/irq.c,774,774
07-02-2026,arch/alpha/kernel/irq_alpha.c,252,252
