snapshot_date,file_path,linus_lines,total_lines
28-01-2018,.gitignore,29,124
28-01-2018,.mailmap,1,194
28-01-2018,COPYING,354,356
28-01-2018,CREDITS,3550,4143
28-01-2018,MAINTAINERS,2485,15145
28-01-2018,Makefile,511,1724
28-01-2018,arch/Kconfig,2,962
28-01-2018,arch/alpha/Kconfig,552,752
28-01-2018,arch/alpha/Kconfig.debug,42,43
28-01-2018,arch/alpha/Makefile,51,69
28-01-2018,arch/alpha/boot/Makefile,109,120
28-01-2018,arch/alpha/boot/bootloader.lds,24,25
28-01-2018,arch/alpha/boot/bootp.c,212,215
28-01-2018,arch/alpha/boot/bootpz.c,467,476
28-01-2018,arch/alpha/boot/head.S,122,124
28-01-2018,arch/alpha/boot/main.c,187,191
28-01-2018,arch/alpha/boot/misc.c,169,174
28-01-2018,arch/alpha/boot/tools/mkbb.c,148,153
28-01-2018,arch/alpha/boot/tools/objstrip.c,277,284
28-01-2018,arch/alpha/defconfig,58,74
28-01-2018,arch/alpha/include/asm/a.out.h,13,16
28-01-2018,arch/alpha/include/asm/agp.h,12,19
28-01-2018,arch/alpha/include/asm/agp_backend.h,42,43
28-01-2018,arch/alpha/include/asm/atomic.h,48,325
28-01-2018,arch/alpha/include/asm/bitops.h,350,461
28-01-2018,arch/alpha/include/asm/bug.h,12,25
28-01-2018,arch/alpha/include/asm/bugs.h,20,20
28-01-2018,arch/alpha/include/asm/cache.h,22,23
28-01-2018,arch/alpha/include/asm/cacheflush.h,72,78
28-01-2018,arch/alpha/include/asm/checksum.h,56,72
28-01-2018,arch/alpha/include/asm/compiler.h,14,18
28-01-2018,arch/alpha/include/asm/console.h,28,30
28-01-2018,arch/alpha/include/asm/core_apecs.h,517,518
28-01-2018,arch/alpha/include/asm/core_cia.h,500,501
28-01-2018,arch/alpha/include/asm/core_irongate.h,232,233
28-01-2018,arch/alpha/include/asm/core_lca.h,360,362
28-01-2018,arch/alpha/include/asm/core_marvel.h,376,378
28-01-2018,arch/alpha/include/asm/core_mcpcia.h,376,382
28-01-2018,arch/alpha/include/asm/core_polaris.h,110,111
28-01-2018,arch/alpha/include/asm/core_t2.h,574,615
28-01-2018,arch/alpha/include/asm/core_titan.h,408,410
28-01-2018,arch/alpha/include/asm/core_tsunami.h,332,335
28-01-2018,arch/alpha/include/asm/core_wildfire.h,317,319
28-01-2018,arch/alpha/include/asm/delay.h,10,11
28-01-2018,arch/alpha/include/asm/div64.h,1,1
28-01-2018,arch/alpha/include/asm/dma-mapping.h,6,12
28-01-2018,arch/alpha/include/asm/dma.h,376,377
28-01-2018,arch/alpha/include/asm/elf.h,158,166
28-01-2018,arch/alpha/include/asm/err_common.h,118,119
28-01-2018,arch/alpha/include/asm/err_ev6.h,6,6
28-01-2018,arch/alpha/include/asm/err_ev7.h,202,203
28-01-2018,arch/alpha/include/asm/floppy.h,110,113
28-01-2018,arch/alpha/include/asm/fpu.h,71,76
28-01-2018,arch/alpha/include/asm/gct.h,58,59
28-01-2018,arch/alpha/include/asm/hardirq.h,4,10
28-01-2018,arch/alpha/include/asm/hw_irq.h,13,15
28-01-2018,arch/alpha/include/asm/hwrpb.h,220,221
28-01-2018,arch/alpha/include/asm/io.h,551,588
28-01-2018,arch/alpha/include/asm/io_trivial.h,123,132
28-01-2018,arch/alpha/include/asm/irq.h,91,92
28-01-2018,arch/alpha/include/asm/jensen.h,346,347
28-01-2018,arch/alpha/include/asm/kmap_types.h,11,15
28-01-2018,arch/alpha/include/asm/linkage.h,5,9
28-01-2018,arch/alpha/include/asm/local.h,10,102
28-01-2018,arch/alpha/include/asm/machvec.h,125,143
28-01-2018,arch/alpha/include/asm/mc146818rtc.h,27,28
28-01-2018,arch/alpha/include/asm/mmu.h,7,8
28-01-2018,arch/alpha/include/asm/mmu_context.h,249,263
28-01-2018,arch/alpha/include/asm/mmzone.h,108,113
28-01-2018,arch/alpha/include/asm/module.h,15,18
28-01-2018,arch/alpha/include/asm/page.h,89,99
28-01-2018,arch/alpha/include/asm/pal.h,5,187
28-01-2018,arch/alpha/include/asm/param.h,5,12
28-01-2018,arch/alpha/include/asm/parport.h,16,19
28-01-2018,arch/alpha/include/asm/pci.h,86,105
28-01-2018,arch/alpha/include/asm/percpu.h,4,19
28-01-2018,arch/alpha/include/asm/pgalloc.h,64,92
28-01-2018,arch/alpha/include/asm/pgtable.h,333,370
28-01-2018,arch/alpha/include/asm/processor.h,80,89
28-01-2018,arch/alpha/include/asm/ptrace.h,11,28
28-01-2018,arch/alpha/include/asm/rwsem.h,164,211
28-01-2018,arch/alpha/include/asm/segment.h,6,6
28-01-2018,arch/alpha/include/asm/serial.h,23,30
28-01-2018,arch/alpha/include/asm/sfp-machine.h,82,82
